Introdução à Biologia;Bem-vindo à Biologia!;https://pt.khanacademy.org/video/overview-of-biology;Visão geral da Biologia;Visão geral da biologia, o estudo da vida.
Propriedades do carbono;Carbono;https://pt.khanacademy.org/video/silicon-based-life;Vida baseada em silício;O silício poderia desempenhar uma função semelhante à do carbono no auxílio à vida?
Propriedades do carbono;Carbono;https://pt.khanacademy.org/video/representing-structures-of-organic-molecules;Representação de estruturas de moléculas orgânicas;Representação de estruturas de moléculas orgânicas utilizando diagramas de linhas (ou ângulo-linha). 
Propriedades do carbono;Estruturas de hidrocarbonetos e grupos funcionais;https://pt.khanacademy.org/video/hydrocarbon-overview;Visão geral de hidrocarbonetos;Visão geral de hidrocarbonetos.
Propriedades do carbono;Estruturas de hidrocarbonetos e grupos funcionais;https://pt.khanacademy.org/video/isomers;Isômeros;Isômeros estruturais, estereoisômeros, isômeros geométricos, isômeros cis-trans e enantiômeros.
Propriedades do carbono;Estruturas de hidrocarbonetos e grupos funcionais;https://pt.khanacademy.org/video/functional-groups;Grupos funcionais;Grupos hidroxila, sulfidrila, carbonila, carboxila, amino e fosfato. Álcoois e tióis.
Macromoléculas;Carboidratos;https://pt.khanacademy.org/video/molecular-structure-of-glucose;Estrutura molecular da glicose;Estrutura molecular da glicose. Estrutura dos monossacarídeos. Formas cíclica e linear.
Macromoléculas;Carboidratos;https://pt.khanacademy.org/video/dehydration-synthesis-or-a-condensation-reaction;Síntese por desidratação ou reação de condensação;Síntese por desidratação (reação de condensação) entre moléculas de açúcar. Monossacarídeos, dissacarídeos e polissacarídeos. Formação da maltose a partir de monômeros de glicose.
Macromoléculas;Carboidratos;https://pt.khanacademy.org/video/hydrolysis;Hidrólise;Como a hidrólise pode quebrar polissacarídeos (carboidratos) como o amido, celulose, quitina e glicogênio.
Macromoléculas;Carboidratos;https://pt.khanacademy.org/video/molecular-structure-of-fructose;Estrutura molecular da frutose;Comparação entre frutose e glicose. Anéis de piranose e furanose. Formação da sacarose a partir da glicose e frutose.
Macromoléculas;Lipídios;https://www.youtube.com/watch?v=7Vkx7buEzyw;Lipídeos | Compostos Orgânicos | Prof. Paulo Jubilut ;Neste vídeo o Prof. Paulo Jubilut explica a importância dos lipídeos nos seres vivos. São abordados temas como a estrutura, os tipos e as funções deste composto orgânico.
Macromoléculas;Lipídios;https://pt.khanacademy.org/video/molecular-structure-of-triglycerides-fats;Estrutura molecular dos triglicérides (gorduras);Entenda como um triglicéride (triacilglicerol) pode ser formado a partir de uma molécula de glicerol e três ácidos graxos.
Macromoléculas;Lipídios;https://pt.khanacademy.org/video/saturated-fats-unsaturated-fats-and-trans-fats;Gorduras saturadas, insaturadas e trans;Gorduras saturadas, insaturadas e trans.
Macromoléculas;Lipídios;https://pt.khanacademy.org/video/lipid-overview;Visão geral sobre lipídios;Tipos de lipídios, entre eles gorduras, ceras, esteroides e fosfolipídios.
Macromoléculas;Ácidos nucleicos;https://pt.khanacademy.org/video/dna-deoxyribonucleic-acid;DNA;Saiba mais sobre o DNA (ácido desoxirribonucleico). Resumo sobre as bases do DNA, o pareamento de bases complementares e a estrutura da dupla hélice.
Macromoléculas;Ácidos nucleicos;https://www.youtube.com/watch?v=ii7b3cF7j4o;Ácidos Nucleicos - DNA - Compostos Orgânicos - Prof. Paulo Jubilut ; Neste vídeo o Prof. Paulo Jubilut explica a importância do DNA  nos seres vivos. São abordados temas como a estruturae as funções deste composto orgânico.
Macromoléculas;Ácidos nucleicos;https://www.youtube.com/watch?v=Tr364-GYY9k;Núcleo Celular - Parte 1 - Prof. Paulo Jubilut ;Nesta aula o Prof. Paulo Jubilut explica  sobre o núcleo celular. São abordados temas DNA, cromossomos, carioteca e cromatinas.
Macromoléculas;Ácidos nucleicos;https://www.youtube.com/watch?v=gY5_EWmrYGU;Ácidos Nucleicos - RNA - Compostos Orgânicos - Prof. Paulo Jubilut ;Neste vídeo o Prof. Paulo Jubilut explica a importância do RNA  nos seres vivos. São abordados temas como a estruturae as funções deste composto orgânico.
Macromoléculas;Ácidos nucleicos;https://www.youtube.com/watch?v=ZBlgi1hHO0E;Especializações de Membrana Plasmática - Prof. Paulo Jubilut ;Nesta aula o Prof. Paulo Jubilut explica as especializações da membrana plasmática.
Macromoléculas;Ácidos nucleicos;https://www.youtube.com/watch?v=nGRHqA_iPI0;Vitaminas - Compostos Orgânicos - Prof. Paulo Jubilut;Neste vídeo o Prof. Paulo Jubilut explica a importância das vitaminas nos seres vivos. São abordados temas como os tipos e as funções deste composto orgânico.
Macromoléculas;Ácidos nucleicos;https://pt.khanacademy.org/video/rna-transcription-and-translation;Replicação do DNA e transcrição e tradução do RNA;Como o DNA é copiado (replicação). Como a informação no DNA pode ser usada para fazer uma proteína.
Macromoléculas;Ácidos nucleicos;https://www.youtube.com/watch?v=VYC9v9E9-xQ;Células-Tronco, Clonagem, Transgênicos e Teste de DNA - Revisão ENEM Biologia - Prof. Paulo Jubilut;Nesta aula o Prof. Paulo Jubilut explica sobre Células-Tronco, Clonagem, Transgênicos e Teste de DNA.
Macromoléculas;Ácidos nucleicos;https://pt.khanacademy.org/video/molecular-structure-of-dna;Estrutura molecular do DNA;Estrutura molecular do DNA. Nucleotideo. Base nitrogenada, fosfato.
Macromoléculas;Ácidos nucleicos;https://pt.khanacademy.org/video/antiparallel-structure-of-dna-strands;Estrutura antiparalela das cadeias de DNA;O DNA é composto de duas cadeias de nucleotídeos, mantidos juntos por ligações de hidrogênio. Cada cadeia tem entre 7 e 13cm e correm em direções opostas uma da outra.
Macromoléculas;Ácidos nucleicos;https://pt.khanacademy.org/video/molecular-structure-of-rna;Estrutura molecular do RNA;Estrutura molecular do RNA.
Macromoléculas;Proteínas;https://pt.khanacademy.org/video/introduction-to-amino-acids;Introdução aos aminoácidos;Aminoácidos e o dogma central da biologia molecular. Grupos amina e carboxila, correntes laterais e zwitterions.
Macromoléculas;Proteínas;https://pt.khanacademy.org/video/peptide-bond-formation;Formação de ligações peptídicas;Como os aminoácidos formam ligações peptídicas por meio de uma reação de condensação (síntese por desidratação).
Macromoléculas;Proteínas;https://pt.khanacademy.org/video/overview-of-protein-structure;Visão geral da estrutura da proteína;Estrutura de proteínas primárias, secundárias, terciárias e quaternárias. As folhas beta pregueadas e hélices alfa.
Macromoléculas;Proteínas;https://pt.khanacademy.org/video/tertiary-structure-of-proteins;Estrutura terciária das proteínas;Como as interações entre as cadeias laterais podem impactar a estrutura terciária das proteínas.
Energia e enzimas;Energia no metabolismo;https://pt.khanacademy.org/video/introduction-to-metabolism-anabolism-and-catabolism;Introdução ao metabolismo: anabolismo e catabolismo;Panorama do metabolismo, anabolismo e catabolismo.
Energia e enzimas;Energia no metabolismo;https://www.youtube.com/watch?v=T51ld1dZ_B4;METABOLISMO ENERGÉTICO - Foca na Medicina 2017 ;Aula interdisciplinar de Biologia e Química sobre Metabolismo Energético.
Energia e enzimas;Leis da termodinâmica;https://pt.khanacademy.org/video/introduction-to-energy;Introdução à energia;Energia é definida como a capacidade de realizar trabalho. Energia pode ser encontrada em muitas coisas e pode assumir formas diferentes. Por exemplo, a energia cinética é a energia do movimento, a energia potencial é a energia devida à posição ou estrutura de um objeto. Energia nunca é perdida, mas pode ser convertida de uma forma para outra.
Energia e enzimas;Leis da termodinâmica;https://pt.khanacademy.org/video/first-law-of-thermodynamics-introduction;Introdução à primeira lei da termodinâmica;A energia não pode ser criada ou destruída. Ela pode apenas ser transferida ou convertida de uma forma a outra.
Energia e enzimas;Leis da termodinâmica;https://pt.khanacademy.org/video/introduction-to-entropy;Introdução à entropia;Introdução à entropia: como ela se relaciona com os diversos estados possíveis de um sistema.
Energia e enzimas;Leis da termodinâmica;https://pt.khanacademy.org/video/the-second-law-of-thermodynamics;Segunda Lei da Termodinâmica;Segunda lei da termodinâmica: não há transferência espontânea de calor do frio para o quente.
Energia e enzimas;Leis da termodinâmica;https://pt.khanacademy.org/video/second-law-of-thermodynamics-and-entropy;Segunda lei da termodinâmica e entropia;Segunda lei da termodinâmica e entropia: a entropia do universo aumenta constantemente.
Energia e enzimas;Leis da termodinâmica;https://pt.khanacademy.org/video/why-heat-increases-entropy;Por que o calor aumenta a entropia;Por que o calor aumenta a entropia—ainda que um pouco dele possa gerar trabalho!
Energia e enzimas;Energia livre;https://pt.khanacademy.org/video/gibbs-free-energy-and-spontaneous-reactions;Energia livre de Gibbs e reações espontâneas;Energia livre de Gibbs e reações espontâneas.
Energia e enzimas;Energia livre;https://pt.khanacademy.org/video/endergonic-exergonic-exothermic-and-endothermic-reactions;Endergônica, exergônica, exotérmica e endotérmica;Reações endergônica, exergônica, exotérmica e endotérmica.
Energia e enzimas;ATP e acoplamento de reações;https://pt.khanacademy.org/video/adenosine-triphosphate;ATP: adenosina trifosfato;Saiba mais sobre o ATP: como ele armazena energia, e como essa energia é liberada quando ele é convertido em ADP e fosfato.
Energia e enzimas;ATP e acoplamento de reações;https://pt.khanacademy.org/video/atp-hydrolysis-mechanism;Mecanismo de hidrólise do ATP;Mecanismo de hidrólise do ATP. Como a energia é liberada quando o ATP é convertido em ADP e fosfato.
Energia e enzimas;ATP e acoplamento de reações;https://pt.khanacademy.org/video/reaction-coupling-to-create-glucose-6-phosphate;Acoplamento de reações para a criação de glicose-6-fosfato;Acoplamento de reações para a criação de glicose-6-fosfato.
Energia e enzimas;Introdução às enzimas;https://pt.khanacademy.org/video/introduction-to-kinetics;Introdução à cinética;Cinética é o estudo das velocidades de reação e como elas são afetadas. Muitos fatores, tais como a concentração, pressão, temperatura e atividade enzimática, podem afetar a velocidade de uma reação. Por exemplo, a energia cinética de uma molécula é diretamente proporcional à sua temperatura, então o aumento da temperatura irá resultar em um aumento na velocidade da reação.
Energia e enzimas;Introdução às enzimas;https://pt.khanacademy.org/video/enzymes;Enzimas;Enzimas como catalisadores de reações nos sistemas biológicos; discussão sobre substratos, sítios ativos, ajuste induzido e energia de ativação.
Energia e enzimas;Regulação enzimática;https://pt.khanacademy.org/video/enzyme-cofactors-and-coenzymes;Cofatores enzimáticos e coenzimas;Cofatores e coenzimas (cofatores orgânicos) que ajudam as enzimas a catalisar reações.
Energia e enzimas;Regulação enzimática;https://pt.khanacademy.org/video/competitive-inhibition;Inibição competitiva;Como um inibidor pode "competir" por uma enzima com o substrato adequado.
Energia e enzimas;Regulação enzimática;https://pt.khanacademy.org/video/noncompetitive-inhibition;Inibição não competitiva;Veja como um inibidor não competitivo pode se ligar independente da ligação do substrato, e vice versa.
Estrutura celular;Introdução às células;https://www.youtube.com/watch?v=i-67lbXQpA4&t=235s;Teoria da Endossimbiose - Mitocôndria e Cloroplasto;Nesta videoaula o professor Samuel Cunha explica como surgirm as organelas nas células eucarióticas. 
Estrutura celular;Introdução às células;https://youtu.be/4IoiIUgpcnw;Células Eucariontes x Procariontes: Principais Diferenças;Nesta videoaula o professor Samuel Cunha diferencia Células eucarióticas de procarióticas, dando ênfase em suas principais características.
Estrutura celular;Introdução às células;https://www.youtube.com/watch?v=VwRVOcqWo2o;Biologia do Zero com Marcos André - Citologia ;Aula de Biologia sobre  o tema Citologia
Estrutura celular;Introdução às células;https://www.youtube.com/watch?v=p1noIkhcJEM;Aulão ao Vivo - Organelas Citoplasmáticas - Prof. Paulo Jubilut ;Nesta aula o Prof. Paulo Jubilut aborda as organelas citoplamáticas.   São abordados temas como ribossomos, complexo de Golgi, lisossomos entre outras.
Estrutura celular;Introdução às células;https://www.youtube.com/watch?v=OD9vtp_ZAT0;Interfase - Ciclo Celular - Divisão Celular - Prof. Paulo Jubilut ;Nesta aula o Prof. Paulo Jubilut explica a Interfase. São abordados temas como a replicação, duplicação DNA e o controle divisão celular.
Estrutura celular;Introdução às células;https://www.youtube.com/watch?v=MXwtaoOkh1s;OSMOSE NA CÉLULA VEGETAL - Transporte Passivo - Prof. Paulo Jubilut  ;Nesta videoaula o Prof. Paulo Jubilut explica o equilíbrio osmótico nas Células Vegetais, aborda o seu comportamento em soluções isotônicas, hipotônicas, e hipertônicas
Estrutura celular;Introdução às células;https://www.youtube.com/watch?v=K7r8FuHrFfY;Célula Animal x Célula Vegetal - Principais Diferenças;Nesta videoaula o professor Samuel Cunha Diferencia célula animal e célula vegetal, explicando suas principais estruturas.
Estrutura celular;Introdução às células;https://youtu.be/Zc-G-PP3cN8;Biologia - Citologia - O Ciclo Celular;Toda célula tem um ciclo determinado no organismo, no qual ela se reproduz, gera descendência, envelhece e morre. Esse ciclo é definido por duas grandes fases: Intérfase, dividida em período G1, período S e período G2; e Divisão Celular, ambas fases que possuem características exclusivas e funções específicas. Tenha um primeiro contato com esse mecanismo aqui nesta aula.
Estrutura celular;Introdução às células;https://pt.khanacademy.org/video/scale-of-cells;Escala de células;Reflexão sobre como as células são grandes, se comparadas a vírus, proteínas e moléculas simples.
Estrutura celular;Introdução às células;https://pt.khanacademy.org/video/cell-theory;Teoria celular;Introdução à teoria celular. Papéis de Hooke, Leeuwenhoek e outros em seu desenvolvimento.
Estrutura celular;Células procariontes e eucariontes;https://pt.khanacademy.org/video/cell-size;Tamanho da célula;Reflexão sobre os fatores limitantes do tamanho da célula. Foco na proporção volume-superfície.
Estrutura celular;Células procariontes e eucariontes;https://pt.khanacademy.org/video/prokaryotic-and-eukaryotic-cells;Células procariontes e eucariontes;Células procariontes e eucariontes. Domínios Bacteria e Archaea.
Estrutura celular;Roteiro de uma célula eucarionte;https://pt.khanacademy.org/video/endoplasmic-reticulum-and-golgi-bodies;Retículo endoplasmático e complexo de Golgi;Estrutura do retículo endoplasmático e do corpo de Golgi (aparelho de Golgi). Seu papel na secreção de proteínas.
Estrutura celular;Roteiro de uma célula eucarionte;https://pt.khanacademy.org/video/endomembrane-system;Sistema de endomembranas;Uma visão geral das estruturas de membrana-limite que formam o sistema endomembranoso em células eucariontes.
Estrutura celular;Roteiro de uma célula eucarionte;https://pt.khanacademy.org/video/mitochondria-video;Mitocôndria;Estrutura e papel das mitocôndrias. Membrana externa, membrana interna, cristas, porinas etc.
Estrutura celular;Roteiro de uma célula eucarionte;https://pt.khanacademy.org/video/cytoskeletons;O citoesqueleto;Exploração do citoesqueleto da célula, inclusive dos microfilamentos e microtúbulos (com breve menção aos filamentos intermediários).
Estrutura celular;Estruturas extracelulares e interações célula-célula;https://pt.khanacademy.org/video/extracellular-matrix;Matriz extracelular;Visão geral de como as células interagem com a matriz extracelular.
Estrutura celular;Estruturas extracelulares e interações célula-célula;https://pt.khanacademy.org/video/plant-cell-walls;Paredes das células vegetais;Entenda a estrutura das paredes de células vegetais.
Estrutura celular;Estruturas extracelulares e interações célula-célula;https://pt.khanacademy.org/video/overview-of-animal-and-plant-cells;Visão geral das células animais e vegetais;Visão geral das células animais e vegetais. Entre os tópicos estão parede celular, vacúolos, cloroplastos, peroxissomos, lisossomos, mitocôndrias etc.
Membranas e transporte;Membrana plasmática;https://pt.khanacademy.org/video/fluid-mosaic-model-of-cell-membranes;Modelo de mosaico fluido das membranas celulares;O modelo de mosaico fluido descreve a membrana celular como uma tapeçaria de vários tipos de moléculas (fosfolipídios, colesterol e proteínas) que estão em constante movimento. Este movimento ajuda a membrana celular a manter seu papel como uma barreira entre o dentro e fora dos ambientes da célula.
Membranas e transporte;Difusão e osmose;https://pt.khanacademy.org/video/diffusion-video;Difusão - introdução;Saiba mais sobre como partículas movem-se de uma área de maior concentração para uma área de menor concentração através do processo de difusão.
Membranas e transporte;Difusão e osmose;https://pt.khanacademy.org/video/concentration-gradients;Gradientes de concentração;Um gradiente de concentração ocorre quando a concentração de partículas é maior em uma área que na outra. No transporte passivo, partículas irão difundir na direção do menor gradiente de concentração, das áreas de maior concentração para áreas de menor concentração, até que elas tenham a mesma concentração.
Membranas e transporte;Difusão e osmose;https://pt.khanacademy.org/video/osmosis;Osmose;Osmose de água de uma área com menor concentração de soluto para áreas com maior concentração de soluto, por meio de uma membrana semipermeável.
Membranas e transporte;Difusão e osmose;https://pt.khanacademy.org/video/hypotonic-isotonic-and-hypertonic-solutions-tonicity;Soluções hipotônicas, isotônicas e hipertônicas (tonicidade);Soluções hipotônicas, isotônicas e hipertônicas (tonicidade). Como ver o efeito de vários tipos de solução na direção da osmose.
Membranas e transporte;Difusão e osmose;https://pt.khanacademy.org/video/diffusion-and-osmosis;Difusão e osmose;Aprenda sobre difusão, osmose e gradientes de concentração, e por que eles são importantes para as células.
Membranas e transporte;Transporte passivo;https://pt.khanacademy.org/video/passive-transport-and-selective-permeability;Transporte passivo e permeabilidade seletiva;Transporte passivo e permeabilidade seletiva. Transporte passivo por meio da difusão.
Membranas e transporte;Transporte passivo;https://pt.khanacademy.org/video/facilitated-diffusion;Difusão facilitada;Entenda como as proteínas de canal e as proteínas carreadoras podem facilitar a difusão em uma membrana celular (transporte passivo).
Membranas e transporte;Transporte ativo;https://pt.khanacademy.org/video/sodium-potassium-pump-video;Bomba de sódio-potássio;Como a bomba sódio-potássio (Na + / K +) funciona. Seu papel no estabelecimento de potenciais de membrana de repouso.
Membranas e transporte;Transporte ativo;https://pt.khanacademy.org/video/electrochemical-gradient-and-secondary-active-transport;Gradientes eletroquímicos e transporte ativo secundário;Como uma célula pode usar um gradiente eletroquímico de uma molécula para conseguir energia para o transporte ativo secundário.
Membranas e transporte;Transporte ativo;https://pt.khanacademy.org/video/uniporters-symporters-and-antiporters;Uniportadores, simportadores e antiportadores;Uniportadoras, simportadoras e antiportadoras são proteínas que são utilizadas no transporte de substâncias através de uma membrana celular. Uniportadoras estão envolvidas na difusão facilitada e trabalham por ligação a uma molécula de substrato por vez para movê-la ao longo de seu gradiente de concentração. Simportadoras e antiportadoras estão envolvidos no transporte ativo. Antiportadoras transportam moléculas em direções opostas, enquanto simportadoras transportam moléculas na mesma direção.
Membranas e transporte;Transporte em massa;https://pt.khanacademy.org/video/endocytosis-phagocytosis-and-pinocytosis;Endocitose, fagocitose e pinocitose;Transporte em massa: endocitose, fagocitose e pinocitose.
Membranas e transporte;Transporte em massa;https://pt.khanacademy.org/video/exocytosis;Exocitose;Introdução à exocitose!
Respiração celular;Introdução à respiração celular;https://pt.khanacademy.org/video/adenosine-triphosphate;ATP: adenosina trifosfato;Saiba mais sobre o ATP: como ele armazena energia, e como essa energia é liberada quando ele é convertido em ADP e fosfato.
Respiração celular;Introdução à respiração celular;https://pt.khanacademy.org/video/atp-hydrolysis-mechanism;Mecanismo de hidrólise do ATP;Mecanismo de hidrólise do ATP. Como a energia é liberada quando o ATP é convertido em ADP e fosfato.
Respiração celular;Introdução à respiração celular;https://pt.khanacademy.org/video/introduction-to-cellular-respiration;Introdução à respiração celular;Introdução à respiração celular, glicólise, ciclo de Krebs e cadeia de transporte de elétrons.
Respiração celular;Introdução à respiração celular;https://pt.khanacademy.org/video/oxidation-and-reduction-from-biological-view;Revisão sobre oxidação e redução do ponto de vista biológico;Um olhar sobre a oxidação e a redução no contexto biológico.
Respiração celular;Introdução à respiração celular;https://pt.khanacademy.org/video/oxidation-and-reduction-in-cellular-respiration;Oxidação e redução na respiração celular;Oxidação e redução na respiração celular. Conciliação entre as definições da Biologia e da Química sobre oxidação e redução.
Respiração celular;Etapas da respiração celular;https://pt.khanacademy.org/video/overview-of-cellular-respiration;Visão geral da respiração celular;Visão simples da glicólise, oxidação do piruvato, o ciclo do ácido cítrico (ciclo de Krebs), e fosforilação oxidativa.
Respiração celular;Glicólise;https://pt.khanacademy.org/video/glycolysis;Visão geral da glicólise;Visão geral dos fundamentos da glicólise.
Respiração celular;Glicólise;https://pt.khanacademy.org/video/glycolysis-overview;Etapas da glicólise;Introdução à glicólise. Papel da glicólise na produção de ATPs e NADHs e na conversão de glicose em piruvatos.
Respiração celular;Oxidação de piruvato e o ciclo do ácido cítrico;https://pt.khanacademy.org/video/krebs-citric-acid-cycle;Ciclo de Krebs / ácido cítrico;Visão geral do ciclo de Krebs ou ciclo do ácido cítrico, que é uma série de reações que usam acetil-CoA e produzem dióxido de carbono, NADH, FADH2 e ATP ou GTP. 
Respiração celular;Fosforilação oxidativa;https://pt.khanacademy.org/video/oxidative-phosphorylation-and-the-electon-transport-chain;Fosforilação oxidativa e a cadeia transportadora de elétrons;Como a oxidação de co-enzimas como NADH pode levar à produção de ATP através da fosforilação oxidativa.
Respiração celular;Variações da respiração celular;https://pt.khanacademy.org/video/lactic-acid-fermentation;Fermentação do ácido lático;Fermentação do ácido lático. Como organismos como os lactobacilos convertem ácido pirúvico em lático e oxidam NADH em NAD+ no processo.
Respiração celular;Variações da respiração celular;https://pt.khanacademy.org/video/alcohol-or-ethanol-fermentation;Fermentação de álcool ou etanol;Fermentação de álcool ou etanol, incluindo o fermento e seu papel na produção de pães e vinho.
Fotossíntese;Introdução à fotossíntese;https://youtu.be/Jy90DbNf_6Q;Biologia - Fotossíntese - Visão Geral;Um dos processos mais conhecidos de produção de ATP é a fotossíntese, realizada por vários organismos como plantas e algas. Nesta aula você verá a importância deste processo, qual a relação que a luz tem com os pigmentos fotossintéticos, quais as etapas fundamentais ao entendimento deste metabolismo e compreender sua equação geral.
Fotossíntese;Introdução à fotossíntese;https://www.youtube.com/watch?v=TQ3BpbJH5zI;Ponto de Compensação Luminosa | Prof. Paulo Jubilut;Neste vídeo o Prof. Jubilut explica sobre o ponto de compensação luminosa em plantas de sombra (umbrófilas) e luz (heliófilas).
Fotossíntese;Introdução à fotossíntese;https://pt.khanacademy.org/video/adenosine-triphosphate;ATP: adenosina trifosfato;Saiba mais sobre o ATP: como ele armazena energia, e como essa energia é liberada quando ele é convertido em ADP e fosfato.
Fotossíntese;Introdução à fotossíntese;https://pt.khanacademy.org/video/atp-hydrolysis-mechanism;Mecanismo de hidrólise do ATP;Mecanismo de hidrólise do ATP. Como a energia é liberada quando o ATP é convertido em ADP e fosfato.
Fotossíntese;Introdução à fotossíntese;https://pt.khanacademy.org/video/photosynthesis;Fotossíntese;Visão geral da fotossíntese. O que a fotossíntese realiza, por que ela é importante, e como as reações dependentes e independentes de luz trabalham em conjunto.
